Year,Frequency,On Cover
2014,108,Male Athletes/Coaches
2014,0,Other Men
2014,6,Female Athletes/Coaches
2014,2,Female Swimsuit Models
2014,2,Other Women
2014,3,No People
2013,108,Male Athletes/Coaches
2013,0,Other Men
2013,0,Female Athletes/Coaches
2013,2,Female Swimsuit Models
2013,2,Other Women
2013,1,No People
2012,71,Male Athletes/Coaches
2012,1,Other Men
2012,2,Female Athletes/Coaches
2012,1,Female Swimsuit Models
2012,1,Other Women
2012,4,No People
2011,80,Male Athletes/Coaches
2011,1,Other Men
2011,2,Female Athletes/Coaches
2011,1,Female Swimsuit Models
2011,0,Other Women
2011,1,No People
2010,81,Male Athletes/Coaches
2010,2,Other Men
2010,3,Female Athletes/Coaches
2010,1,Female Swimsuit Models
2010,0,Other Women
2010,1,No People
